name,url,developer,year,screenshot,youtube,vimeo,steam,apple,google
Identity Crisis,http://www.shardline.com/,ShardLine Entertainment,,http://www.shardline.com/wp-content/themes/evo2/img/shanty-home.jpg,https://www.youtube.com/watch?v=k9Byv35X7m0,,,,
Intraland,http://www.almostpicture.net/index.php?/gamedesign/intraland/,"Marion Bareil, HEAD Genève",2013,http://almostpicture.net/files/0-welcome.png,,http://player.vimeo.com/video/78900246/,,,
Kiss’em App!?,http://tchagata.com/games/kissem-app/,Tchagata Games / Silver Thorax,,http://tchagata.com/wp-content/uploads/2014/08/ScreenshotKissEmApp.jpg,,,,,
Lowboat,http://www.reduktion.ch/project/lowboat-game/,Christian Schnellman,,http://www.reduktion.ch/wp-content/uploads/2012/11/HumanAerobics2-300x300.jpg,https://www.youtube.com/watch?v=_Sk9BOlM-rI?feature=oembed,,,,
MokMok,http://www.mokmok.com/,2beats,,http://www.mokmok.com/images/mok_web_intro-slide.jpg,,,,,
Maison Kanraku,http://tchagata.com/games/maison-kanraku/,Tchagata Games / Sunnyside Games,2015,http://tchagata.com/wp-content/uploads/2015/02/screen1_991.png,,,,,
Ned & Ted,http://nedandtedgame.ch/,Marc Gruber & Simon Kovatsch,,http://nedandtedgame.ch/bilder/Screenshots/final_01.png,,http://player.vimeo.com/video/77280126/,,,
Niche,http://niche-game.com/wordpress/,Philomena Schwab,2014,http://niche-game.com/wordpress/wp-content/uploads/2014/07/cropped-Niche.jpg,https://www.youtube.com/watch?v=vT4hWhboVCw?feature=oembed,,,,
Onirigami,http://blog.onirigami.com,Marion Bareil & Camille Attard,2013,http://media.tumblr.com/f2ebb20742c7a1967f3db641913373b4/tumblr_inline_nb36wj2ZUd1qds6yb.jpg,https://www.youtube.com/watch?v=FbqBXkmukr4?rel=0,http://player.vimeo.com/video/105496049/,,,
Sam’s Chronicles,http://www.samschronicles.com/,Witchlake,,http://samschronicles.com/wp-content/uploads/2013/11/logo-web.png,https://www.youtube.com/watch?v=YmbDyInDnVk,,,,
Schlicht,https://twitter.com/TeamSchlicht,Team Schlicht,,https://pbs.twimg.com/media/B74T0TtCAAAqr-5.jpg:large,,,,,
